row_id,parent_category_pred_llm,reasoning,input_tokens,output_tokens
156,Computers & Electronics,"Das Produkt ist ein Gaming-Laptop, was direkt in die Kategorie Computers & Electronics fällt.",341.0,70.0
157,Computers & Electronics,"Das Produkt ist eine Schutzhülle für ein MacBook Air, also Zubehör für Computer/Elektronik.",317.0,71.0
159,Computers & Electronics,Ein Laptop-Riser ist ein Zubehörprodukt für Laptops und fällt daher direkt unter die Kategorie Computers & Electronics.,325.0,82.0
160,Restaurants,"Die Unterkategorie ist explizit 'Restaurants' und DoorDash ist ein Essenslieferdienst, der Bestellungen bei Restaurants vermittelt.",306.0,86.0
168,Sports & Fitness,"Whey protein supplement is fitness/nutrition related, matching the given thread_category directly.",336.0,57.0
170,Restaurants,"Der Titel bezieht sich auf einen Rabatt auf Pizzen, was direkt der Kategorie Restaurants entspricht.",318.0,72.0
171,Financial Services,"Der Titel bezieht sich auf ein Angebot von Credit Karma zur Aktivierung einer Kreditkarte (Triangle MasterCard), was direkt mit Finanzdienstleistungen (Kreditkarten, Cashback) zusammenhängt.",324.0,117.0
173,Computers & Electronics,"Das Produkt ist eine Monitor- und Laptop-Halterung, ein typisches Computerzubehör.",356.0,66.0
174,Home & Garden,"Cast iron griddle is a kitchen/home cooking item, matching the given Home & Garden subcategory.",328.0,61.0
175,Computers & Electronics,"iPhone is a consumer electronic device, matching the thread_category directly.",311.0,51.0
176,Entertainment,"iTunes-Geschenkkarten werden hauptsächlich für den Kauf von Musik, Filmen, Apps und anderen digitalen Unterhaltungsinhalten verwendet, was direkt der Kategorie Entertainment entspricht.",335.0,110.0
177,Apparel,"Die Unterkategorie ist explizit 'Apparel', und Brillen können als Accessoire/Bekleidungsartikel eingeordnet werden, daher passt die vorgegebene Kategorie direkt.",309.0,96.0
186,Apparel,Die Unterkategorie ist explizit 'Apparel' und Brillen/Sehhilfen werden typischerweise als Bekleidungs-/Accessoire-Artikel eingeordnet.,321.0,91.0
187,Home & Garden,"Shark ist eine Marke für Staubsauger und Haushaltsgeräte, passend zur Kategorie Home & Garden.",307.0,70.0
190,Apparel,"Die Unterkategorie ist bereits 'Apparel' und der Titel bezieht sich auf einen Warehouse-Sale von Valentino, einer Modemarke, was klar zu Bekleidung/Mode passt.",317.0,100.0
192,Computers & Electronics,"Eine Indoor-Überwachungskamera ist ein elektronisches Gerät, passend zur Kategorie Computers & Electronics.",332.0,75.0
193,Home & Garden,"Lebensmittel/Groceries fallen als Haushaltsbedarf unter Home & Garden, da keine spezifischere Kategorie wie Restaurants zutrifft (es geht um Einkauf, nicht Essen im Restaurant).",315.0,110.0
194,Computers & Electronics,"Das Produkt ist ein Computermonitor von Dell, ein klassisches Elektronikgerät für Computerperipherie.",328.0,71.0
196,Home & Garden,"Geschirrspülmittel ist ein Haushaltsprodukt für den Haushalt, passt zu Home & Garden.",333.0,68.0
199,Computers & Electronics,"Das Produkt ist ein LG-Computermonitor, was direkt in die Kategorie Computers & Electronics fällt.",328.0,70.0
200,Home & Garden,"Kochgeschirr-Set (Cookware) ist ein Haushaltsartikel für die Küche, passend zur Unterkategorie Home & Garden.",329.0,79.0
206,Home & Garden,"Der Deal betrifft Miele-Staubsaugerzubehör (HEPA-Filter, Staubbeutel), was klar in die Kategorie Home & Garden fällt.",335.0,87.0
210,Computers & Electronics,"Das Produkt ist eine NVMe SSD, ein Computer-Speicherbauteil, was direkt der Kategorie Computers & Electronics entspricht.",355.0,83.0
211,Beauty & Wellness,"Das Produkt ist eine Laser-Therapie-Kappe zur Haarregeneration, was direkt in die Kategorie Beauty & Wellness fällt, da es sich um ein Produkt zur Körperpflege und Behandlung von Haarausfall handelt.",347.0,121.0
213,Apparel,"Der Titel bezieht sich auf einen Sample Sale von Toms-Schuhen mit Rabatten, was direkt der Kategorie Apparel entspricht.",313.0,81.0
217,Financial Services,"Der Titel beschreibt ein Sparkonto-Angebot einer Bank (CIBC) mit Zinssatz, was eindeutig zu Finanzdienstleistungen gehört.",325.0,90.0
220,Financial Services,"Das Angebot bezieht sich auf die Anmeldung bei Ampli, einem Finanzdienstleistungs-/Cashback-Anbieter, was direkt der Kategorie Financial Services entspricht.",306.0,98.0
221,Computers & Electronics,"Das Produkt ist ein 4K HDR Fernseher von Sony, was klar in die Kategorie Computers & Electronics fällt.",322.0,75.0
222,Computers & Electronics,"Das Angebot betrifft ein Guthaben für Einkäufe bei Dell.ca, einem Computer- und Elektronikhändler, auch wenn es über eine Amex-Karte abgewickelt wird. Die zugrunde liegende Kategorie bezieht sich auf den Produktbereich Dell (Computer & Elektronik).",322.0,146.0
225,Restaurants,"Deal betrifft Essenslieferung über Uber Eats, direkt als Restaurants-Kategorie gekennzeichnet.",335.0,70.0
227,Home & Garden,"Kochgeschirr-Set (Cookware) ist ein Haushaltsartikel für die Küche, passend zur Kategorie Home & Garden.",338.0,77.0
228,Home & Garden,"Lebensmittel/Getränke wie Kakaomischung fallen unter Haushaltswaren, da 'Groceries' in dieser Kategorisierung am ehesten Home & Garden zugeordnet wird, mangels einer spezifischen Lebensmittelkategorie.",338.0,121.0
229,Computers & Electronics,"Das Produkt ist ein Laptop (Galaxy Book S) mit Ohrhörern (Buds+), also klassische Computer- und Elektronikartikel.",324.0,84.0
231,Computers & Electronics,"Xbox Live Gold ist eine digitale Gaming-/Elektronik-Dienstleistung, die direkt der Kategorie Computers & Electronics zugeordnet wird.",331.0,90.0
232,Sports & Fitness,"Das Produkt ist ein Fitnessgerät (Spin Bike), passend zur angegebenen Unterkategorie Sports & Fitness.",313.0,78.0
233,Apparel,"Der Titel bezieht sich auf eine Kleidungskollektion (Canadian Olympic team collection), was direkt der Kategorie Apparel entspricht.",306.0,79.0
235,Home & Garden,"Lebensmittel/Groceries werden in diesem Klassifikationsschema am ehesten der Kategorie Home & Garden zugeordnet, da keine spezifische Kategorie für Lebensmittel existiert und diese oft unter Haushaltsartikel fallen.",350.0,119.0
238,Apparel,"Die Unterkategorie ist explizit 'Apparel', und der Titel bezieht sich auf ein Cash-Back-Angebot, das im Kontext dieser Kategorie eingeordnet wird.",318.0,94.0
239,Apparel,"Die Unterkategorie ist explizit 'Apparel', und das Cashback-Event bezieht sich auf Bekleidungseinkäufe, daher passt die direkte Zuordnung zu Apparel.",318.0,95.0
240,Computers & Electronics,"Adobe Creative Cloud is software, fitting directly under Computers & Electronics.",317.0,56.0
245,Computers & Electronics,"Das Produkt ist ein Gaming-Monitor, ein klassisches Computer-Peripheriegerät, das direkt der Kategorie Computers & Electronics entspricht.",352.0,89.0
253,Home & Garden,"Das Thread-Kategorie-Label lautet bereits 'Home & Garden', und ein Luftratschenschlüssel ist ein Werkzeug, das typischerweise dieser Kategorie zugeordnet wird.",332.0,102.0
254,Automotive,"Die Unterkategorie ist explizit 'Automotive', und ein Steckschlüsselsatz (Impact Socket Set) ist ein typisches Werkzeug für Fahrzeugreparaturen.",312.0,95.0
256,Computers & Electronics,Ein tragbares Ladegerät (Powerbank) ist ein elektronisches Zubehörprodukt und passt direkt zur Kategorie Computers & Electronics.,315.0,87.0
257,Computers & Electronics,"Das Produkt ist ein Laptop (HP Envy x360) mit technischen Spezifikationen wie CPU, RAM und SSD, was eindeutig in die Kategorie Computers & Electronics fällt.",363.0,101.0
259,Sports & Fitness,"Die Unterkategorie ist bereits 'Sports & Fitness', und ein Rucksack für sportliche/Outdoor-Nutzung passt direkt in diese Hauptkategorie.",326.0,94.0
261,Computers & Electronics,"Das Produkt ist ein Gaming-Monitor, ein klassisches Computer-Peripheriegerät, was direkt der Kategorie Computers & Electronics entspricht.",334.0,89.0
266,Home & Garden,"Lebensmittel/Groceries fallen unter den Bereich Haushaltswaren wie Home & Garden, da keine spezifischere Kategorie für Lebensmittel in der Liste vorhanden ist.",328.0,98.0
268,Automotive,Autopflegeprodukt (Autowaschseife) fällt direkt unter die Kategorie Automotive.,325.0,61.0
275,Apparel,"Der Titel bezieht sich auf einen Hut (Kleidungsstück) im Angebot, was direkt der Kategorie Apparel entspricht.",317.0,76.0
279,Computers & Electronics,"Das Produkt ist ein Laptop (Lenovo Flex 5), ein klassisches Elektronikgerät, was direkt der Kategorie Computers & Electronics entspricht.",341.0,91.0
280,Home & Garden,"Lebensmittel/Groceries fallen unter Haushaltsbedarf, da keine spezifische 'Groceries'-Kategorie existiert und dies am ehesten zu alltäglichen Haushaltseinkäufen passt.",323.0,106.0
282,Apparel,"Sonnenbrillen sind ein Modeaccessoire und die Unterkategorie ist bereits 'Apparel', was direkt der Hauptkategorie entspricht.",304.0,83.0
284,Home & Garden,"Gartenwerkzeuge (Astschere, Heckenschere, Baumschere) sind klassische Home & Garden Produkte.",317.0,71.0
286,Home & Garden,"Ein Roboterstaubsauger ist ein Haushaltsgerät zur Reinigung des Zuhauses, passend zur Unterkategorie Home & Garden.",307.0,84.0
287,Sports & Fitness,"Ein Elektrofahrrad ist ein Fitness- und Sportgerät, passend zur bereits angegebenen Unterkategorie Sports & Fitness.",310.0,84.0
289,Computers & Electronics,"Eine Computermaus ist ein elektronisches Peripheriegerät, was direkt der Kategorie Computers & Electronics entspricht.",321.0,76.0
290,Automotive,"Das Produkt ist eine Dashcam, ein Autozubehör, und die Unterkategorie ist explizit 'Automotive'.",324.0,70.0
294,Computers & Electronics,"Google Home ist ein smartes Elektronikgerät (Smart Speaker), passend zur Kategorie Computers & Electronics.",310.0,73.0
299,Home & Garden,"Lebensmittel/Groceries fallen unter Haushaltsbedarf, der am ehesten der Kategorie Home & Garden zugeordnet wird, da keine spezifischere Kategorie wie Restaurants zutrifft.",312.0,106.0
300,Home & Garden,"Laundry detergent/soda is a household cleaning product, fitting the Home & Garden category.",319.0,56.0
301,Computers & Electronics,"SanDisk memory cards (SDXC/microSDXC) are computer/electronics storage products, matching both the given subcategory and product type.",359.0,72.0
304,Automotive,"Der Thread ist bereits als Automotive kategorisiert und der Titel bezieht sich auf Autowäsche bei Esso, was eindeutig zur Automotive-Kategorie gehört.",312.0,91.0
305,Computers & Electronics,Eine Speicherkarte (microSDXC) ist ein Elektronik-/Computerzubehörprodukt und passt direkt zur Kategorie Computers & Electronics.,329.0,88.0
308,Home & Garden,"Mr. Clean Magic Eraser ist ein Haushaltsreinigungsprodukt, das eindeutig zur Kategorie Home & Garden gehört.",326.0,82.0
309,Home & Garden,"Lebensmittel/Groceries fallen unter Haushaltsbedarf, da Grundnahrungsmittel und Haushaltsversorgung typischerweise dieser Kategorie zugeordnet werden, wenn keine spezifischere Kategorie wie Restaurants zutrifft.",311.0,126.0
310,Computers & Electronics,Eine microSD-Speicherkarte ist ein Computer-/Elektronikzubehör.,333.0,60.0
311,Computers & Electronics,"Wireless earbuds are consumer electronics/audio devices, matching the given thread_category directly.",322.0,59.0
314,Restaurants,"Pizza-Angebot eines Restaurants, thread_category ist bereits 'Restaurants'.",327.0,59.0
315,Financial Services,"Das Angebot betrifft einen internationalen Geldtransfer-Dienst, was direkt unter Finanzdienstleistungen fällt.",313.0,74.0
318,Home & Garden,"Groceries fallen unter Haushaltsbedarf/Lebensmittel, was in diesem Kategorisierungsschema am ehesten der Hauptkategorie 'Home & Garden' zugeordnet wird, da keine spezifischere Kategorie wie Lebensmittel existiert.",317.0,126.0
322,Computers & Electronics,SanDisk memory products (storage devices) fall directly under Computers & Electronics.,310.0,55.0
323,Sports & Fitness,"Ein Zelt ist Camping-/Outdoor-Ausrüstung, die direkt der angegebenen Unterkategorie Sports & Fitness zugeordnet ist.",323.0,89.0
324,Computers & Electronics,"Das Produkt ist ein Computermonitor, was direkt unter Computers & Electronics fällt.",335.0,62.0
330,Apparel,"Der Titel bezieht sich auf Mackage Outerwear (Jacken), was direkt der Kategorie Bekleidung entspricht.",304.0,72.0
332,Computers & Electronics,"Das Produkt ist eine interne SSD-Festplatte, ein klassisches Computerspeicher-Hardware-Produkt.",355.0,73.0
335,Restaurants,"Bezieht sich auf Bier-/Getränkelieferung von einer Brauerei, was zur Kategorie Lebensmittel/Getränke-Konsum gehört, am ehesten unter Restaurants (Essen & Trinken) einzuordnen.",311.0,113.0
337,Sports & Fitness,"Der Thread ist explizit als 'Sports & Fitness' kategorisiert und bezieht sich auf einen Rabatt bei Sport Chek und Atmosphere, beide Sportgeschäfte.",322.0,99.0
338,Computers & Electronics,"Eine microSDXC-Speicherkarte ist ein elektronisches Speichermedium, das eindeutig zur Kategorie Computers & Electronics gehört.",327.0,84.0
341,Home & Garden,Ein Gasgrill ist ein Produkt für den Garten/Outdoor-Bereich und fällt unter Home & Garden.,313.0,71.0
343,Home & Garden,"Lebensmittel- und Küchenprodukte wie Gewürze fallen unter Haushaltsartikel für Zuhause, da 'Groceries' keine eigene Kategorie in der Liste ist und Home & Garden Haushaltswaren am ehesten abdeckt.",319.0,121.0
344,Home & Garden,"Lebensmittel/Groceries fallen unter Haushaltsbedarf, da 'Home & Garden' auch Alltags- und Haushaltsprodukte wie Lebensmittel abdeckt und keine spezifischere Kategorie (z.B. Restaurants) zutrifft, da es sich um einen Einzelhandelskauf handelt.",319.0,146.0
346,Apparel,"Cycling jerseys and bibs are clothing items, matching the given thread_category of Apparel.",309.0,55.0
350,Home & Garden,"Die angegebene Unterkategorie 'Home & Garden' entspricht direkt einer zulässigen Hauptkategorie, daher wird sie beibehalten.",304.0,82.0
353,Home & Garden,"Groceries fallen unter Haushaltsbedarf/tägliche Einkäufe, was am ehesten der Kategorie Home & Garden zugeordnet wird, da keine spezifischere Kategorie wie Lebensmittel existiert.",322.0,109.0
359,Computers & Electronics,"Das Produkt ist ein Laptop, was direkt unter die Hauptkategorie Computers & Electronics fällt.",360.0,69.0
362,Computers & Electronics,"Das Produkt ist ein Smart Bracelet (Wearable-Technologie), was direkt der Kategorie Computers & Electronics entspricht.",357.0,79.0
371,Restaurants,"Die Unterkategorie ist explizit 'Restaurants' und der Titel bezieht sich auf eine Eis-Promotion (Cone/Sundae), was typischerweise von einem Fast-Food/Eisdiele-Anbieter stammt.",320.0,111.0
381,Home & Garden,"Lebensmittel/Fleisch fällt unter Haushaltswaren, da Groceries typischerweise für den Haushalt gekauft werden und keine passendere Kategorie wie Restaurants zutrifft.",320.0,99.0
387,Home & Garden,"Tee gehört zu Lebensmitteln/Haushaltswaren, die am besten unter Home & Garden als Grundversorgung für den Haushalt eingeordnet werden, da keine spezifischere Kategorie wie Restaurants zutrifft.",316.0,113.0
388,Home & Garden,"Ein manueller Kaffeemühle ist ein Küchen-/Haushaltsgerät, das unter Home & Garden fällt, was auch mit der angegebenen Unterkategorie übereinstimmt.",322.0,98.0
390,Computers & Electronics,"Eine SSD (M2 NVME Speicherlaufwerk) ist Computerhardware, was direkt in die Kategorie Computers & Electronics fällt.",320.0,83.0
395,Computers & Electronics,"Eine Smartwatch ist ein elektronisches Gerät, unabhängig vom Design aus Edelstahl, daher passt die Kategorie Computers & Electronics am besten.",326.0,90.0
396,Computers & Electronics,"Eine GeForce RTX 2060 Grafikkarte ist Computer-Hardware, was direkt der Kategorie Computers & Electronics entspricht.",317.0,82.0
398,Apparel,"Levi's ist eine Bekleidungsmarke, und der Deal bezieht sich auf einen Warehouse-Sale mit Rabatt auf Kleidung.",309.0,81.0
402,Home & Garden,"Ein Baumschneider (Tree Pruner) ist ein Gartenwerkzeug, das zur Pflege von Bäumen und Pflanzen im Garten verwendet wird, passend zur Kategorie Home & Garden.",322.0,105.0
420,Automotive,"Quickjack ist ein Fahrzeugheber (Autoauffahrrampe/Hebebühne) für den Autoserviceeinsatz, passt direkt zur Kategorie Automotive.",309.0,91.0
421,Automotive,"Ein Hitch-mounted Cargo Carrier ist ein Fahrzeugzubehör, das an Autos montiert wird, was direkt der Kategorie Automotive entspricht, und die thread_category bestätigt dies bereits explizit.",322.0,108.0
424,Computers & Electronics,"Western Digital MyBook ist eine externe Festplatte, ein klassisches Elektronikprodukt zur Datenspeicherung.",312.0,74.0
425,Computers & Electronics,"Das Produkt ist ein Laptop, eindeutig ein Elektronikgerät, und die angegebene Unterkategorie stimmt direkt mit der Hauptkategorie überein.",339.0,92.0
427,Computers & Electronics,"Das Produkt ist ein Computermonitor von Samsung, was direkt unter die Kategorie Computers & Electronics fällt.",348.0,73.0
430,Kids & Babies,"Baby carrier is a baby product, directly matching the given subcategory.",316.0,49.0
431,Computers & Electronics,"Klipsch The Three II ist ein Lautsprecher/Elektronikgerät, passend zur Unterkategorie Computers & Electronics.",308.0,77.0
434,Computers & Electronics,"Der Titel beschreibt einen AMD-Prozessor, ein Computerhardware-Produkt, das eindeutig zur Kategorie Computers & Electronics gehört.",337.0,88.0
436,Home & Garden,"iRobot 690 ist ein Saugroboter, ein Haushaltsgerät für Zuhause, passend zur Unterkategorie Home & Garden.",307.0,79.0
439,Apparel,"Canada Goose ist eine Bekleidungsmarke, bekannt für Jacken und Mäntel, was direkt der Kategorie Apparel entspricht.",303.0,79.0
